Region_Global,Applied Ecology,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Ethics,Evolution/Phylogeny,Other,Physiology,Taxonomy/Systematics,Virology
Afrotropical,73.71806324816866,1.429337144899053,0.017866714311238163,17.062712167232448,0.0,2.161872431659818,0.4109344291584777,2.965874575665535,2.2333392889047703,0.0
Australasian,62.98342541436463,2.0257826887661143,0.46040515653775327,17.403314917127073,0.0,3.867403314917127,1.4732965009208103,8.56353591160221,3.1307550644567224,0.09208103130755065
Central Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
East Palearctic,50.75034106412005,1.9099590723055935,0.1364256480218281,24.965893587994543,0.0,6.412005457025921,1.9099590723055935,9.822646657571624,4.092769440654844,0.0
Europe,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0
European,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Global,67.43119266055045,0.45871559633027525,0.0,19.724770642201836,0.0,6.422018348623854,1.834862385321101,3.211009174311927,0.9174311926605505,0.0
Nearctic,48.80125086865879,0.9381514940931202,0.08686587908269632,22.967338429464906,0.0,2.6928422515635857,1.3724808895066019,21.143154968728282,1.9979152189020153,0.0
Neotropical,59.01949649820178,1.608934317622563,0.03785727806170736,20.57543062653795,0.0,3.2935831913685405,1.3250047321597578,7.987885671020253,6.151807685027447,0.0
North Africa,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,49.11032028469751,0.7117437722419928,0.0,8.185053380782918,0.3558718861209964,4.98220640569395,5.6939501779359425,29.537366548042705,1.4234875444839856,0.0
North American,52.94117647058824,0.8403361344537815,0.0,11.76470588235294,0.0,4.201680672268908,2.5210084033613445,27.73109243697479,0.0,0.0
Not Specified,66.08851674641149,0.3588516746411483,0.17942583732057416,8.851674641148326,0.0,2.9904306220095696,4.366028708133971,15.669856459330145,1.4952153110047848,0.0
Oriental,70.74002500852563,1.1367511651699442,0.022735023303398886,10.639990905990679,0.0,2.932818006138456,1.3527338865522338,9.923837671933613,3.251108332386041,0.0
Palearctic,50.89043747580333,2.9423151374370886,0.03871467286101432,24.6031746031746,0.0,3.813395276809911,1.6066589237320943,10.840108401084011,5.265195509097948,0.0
