Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"T.A. Zotina","A comparative study of biota and sediments as monitors of plutonium in the Yenisei River (Siberia, Russia)",2021,"Journal of Environmental Radioactivity","","https://api.elsevier.com/content/article/eid/1-s2.0-S0265931X21001958","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113382216&origin=inward",86,"2026-01-04 12:36:53","Article","10.1016/j.jenvrad.2021.106723","0265-931X","https://api.elsevier.com/content/abstract/scopus_id/85113382216",237,,,,11,2.20,11,1,5,"","",""
82,"T.E. Eriksen","A global perspective on the application of riverine macroinvertebrates as biological indicators in Africa, South-Central America, Mexico and Southern Asia",2021,"Ecological Indicators","","https://api.elsevier.com/content/article/eid/1-s2.0-S1470160X21002740","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103690189&origin=inward",3,"2026-01-04 12:36:53","Article","10.1016/j.ecolind.2021.107609","1470-160X","https://api.elsevier.com/content/abstract/scopus_id/85103690189",126,,,,82,16.40,82,1,5,"","",""
23,"I.N. Bolotov","A new fossil piddock (Bivalvia: Pholadidae) may indicate estuarine to freshwater environments near Cretaceous amber-producing forests in Myanmar",2021,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103160942&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103160942&origin=inward",29,"2026-01-04 12:36:53","Article","10.1038/s41598-021-86241-y","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85103160942",11,1,,,23,4.60,23,1,5,"","",""
23,"S.I. MELNITSKY","A new species of Plectrocnemia (Trichoptera: Polycentropodidae) from Rovno amber",2021,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111491516&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111491516&origin=inward",32,"2026-01-04 12:36:53","Article","10.11646/zootaxa.5006.1.14","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/85111491516",5006,1,106,109,23,4.60,23,1,5,"","",""
21,"S.I. Melnitsky","A new species of the fossil genus Electrotrichia (Insecta: Trichoptera: Hydroptilidae) from Rovno amber (Zhytomyr region, Olevsk locality)",2021,"Palaeoentomology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121025119&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121025119&origin=inward",38,"2026-01-04 12:36:53","Article","10.11646/palaeoentomology.4.5.4","2624-2826","https://api.elsevier.com/content/abstract/scopus_id/85121025119",4,5,421,424,21,4.20,21,1,5,"","",""
14,"S.I. Melnitsky","A new species of the genus Holocentropus (Trichoptera: Polycentropodidae) from Rovno amber",2021,"Zoosystematica Rossica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122578511&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122578511&origin=inward",64,"2026-01-04 12:36:53","Article","10.31610/ZSR/2021.30.2.298","0320-9180","https://api.elsevier.com/content/abstract/scopus_id/85122578511",30,2,298,302,14,2.80,14,1,5,"","",""
9,"H. Ibrahimi","A new species of the genus Potamophylax Wallengren, 1891 (Trichoptera: Limnephilidae) from Qafështamë National Park in Albania",2021,"Ecologica Montenegrina","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107726210&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107726210&origin=inward",97,"2026-01-04 12:36:53","Article","10.37828/EM.2021.42.4","2337-0173","https://api.elsevier.com/content/abstract/scopus_id/85107726210",42,,85,95,9,1.80,9,1,5,"","",""
3,"D. Pivko","A review of Slovak travertine and tufa facies and their environment",2021,"Acta Geologica Slovaca","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145811059&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145811059&origin=inward",187,"2026-01-04 12:36:53","Review","","1338-0044","https://api.elsevier.com/content/abstract/scopus_id/85145811059",13,2,129,166,3,0.60,3,1,5,"","",""
10,"D.C. Houghton","A tale of two habitats: whole-watershed comparison of disturbed and undisturbed river systems in northern Michigan (USA), based on adult Ephemeroptera, Plecoptera, and Trichoptera assemblages and functional feeding group biomass",2021,"Hydrobiologia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105984477&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105984477&origin=inward",92,"2026-01-04 12:36:53","Article","10.1007/s10750-021-04579-w","0018-8158","https://api.elsevier.com/content/abstract/scopus_id/85105984477",848,15,3429,3446,10,2.00,10,1,5,"","",""
3,"N.A. Hasmi","Abundance of Aquatic Insects in Spatial Variation of Two Rivers in Perak, Malaysia",2021,"Iop Conference Series Earth and Environmental Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106617164&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106617164&origin=inward",193,"2026-01-04 12:36:53","Conference Paper","10.1088/1755-1315/736/1/012021","1755-1307","https://api.elsevier.com/content/abstract/scopus_id/85106617164",736,1,,,3,0.60,3,1,5,"","",""
