Year,Applied Ecology,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Evolution/Phylogeny,Other,Physiology,Taxonomy/Systematics
2010,3.5294117647058822,40.0,3.5294117647058822,31.76470588235294,2.3529411764705883,0.0,2.3529411764705883,16.470588235294116
2011,3.225806451612903,31.182795698924732,0.0,39.784946236559136,1.0752688172043012,0.0,3.225806451612903,21.50537634408602
2012,2.2222222222222223,36.666666666666664,0.0,30.0,4.444444444444445,0.0,1.1111111111111112,25.555555555555554
2013,1.834862385321101,25.688073394495415,0.9174311926605505,43.11926605504588,4.587155963302752,0.0,2.7522935779816518,21.100917431192663
2014,0.0,24.561403508771928,1.7543859649122806,35.96491228070175,6.140350877192982,0.8771929824561403,1.7543859649122806,28.947368421052634
2015,2.586206896551724,28.448275862068968,0.8620689655172413,39.6551724137931,4.310344827586207,0.0,1.7241379310344827,22.413793103448278
2016,0.8695652173913043,32.17391304347826,1.7391304347826086,31.30434782608696,4.3478260869565215,0.8695652173913043,1.7391304347826086,26.956521739130434
2017,1.6528925619834711,30.57851239669421,3.3057851239669422,33.88429752066116,4.132231404958678,0.0,2.479338842975207,23.96694214876033
2018,0.9345794392523363,22.429906542056074,0.9345794392523363,26.168224299065418,8.411214953271028,0.9345794392523363,1.8691588785046727,38.31775700934579
2019,1.2269938650306749,20.245398773006134,0.0,17.791411042944784,12.269938650306749,0.0,0.0,48.466257668711656
2020,2.4691358024691357,25.308641975308642,0.6172839506172839,22.839506172839506,7.4074074074074066,0.0,3.0864197530864197,38.2716049382716
2021,2.312138728323699,31.213872832369944,2.8901734104046244,24.85549132947977,6.9364161849710975,0.5780346820809248,1.1560693641618496,30.057803468208093
2022,0.6578947368421052,24.342105263157894,2.631578947368421,24.342105263157894,7.236842105263158,1.3157894736842104,3.289473684210526,36.18421052631579
2023,0.78125,35.15625,2.34375,21.875,3.125,0.78125,0.0,35.9375
2024,0.7042253521126761,37.32394366197183,1.4084507042253522,19.014084507042252,4.929577464788732,1.4084507042253522,2.8169014084507045,32.3943661971831
2025,1.2345679012345678,29.01234567901235,1.2345679012345678,22.22222222222222,5.555555555555555,0.6172839506172839,0.0,40.123456790123456
