Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S. Melnitskiǐ","[Structure and localization of sensilla on antennas of caddisflies (insecta: trichoptera)].",2011,"Zhurnal Evoliutsionno Biokhimii I Fiziologii","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84857414293&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84857414293&origin=inward",198,"2026-01-04 11:54:28","Article","","0044-4529","https://api.elsevier.com/content/abstract/scopus_id/84857414293",47,6,504,512,0,0.00,0,1,15,"","",""
25,"F.B. Gonçalves","A comparative analysis of biotic indices that use macroinvertebrates to assess water quality in a coastal river of Paraná state, southern Brazil",2011,"Biota Neotropica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84860907902&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860907902&origin=inward",58,"2026-01-04 11:54:28","Article","10.1590/S1676-06032011000400002","1678-6424","https://api.elsevier.com/content/abstract/scopus_id/84860907902",11,4,27,36,25,1.67,25,1,15,"","",""
317,"J. Heino","A macroecological perspective of diversity patterns in the freshwater realm",2011,"Freshwater Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79961022949&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79961022949&origin=inward",1,"2026-01-04 11:54:28","Review","10.1111/j.1365-2427.2011.02610.x","0046-5070","https://api.elsevier.com/content/abstract/scopus_id/79961022949",56,9,1703,1722,317,21.13,317,1,15,"","",""
47,"T. Malm","A new classification of the long-horned caddisflies (Trichoptera: Leptoceridae) based on molecular data",2011,"BMC Evolutionary Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78651228825&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78651228825&origin=inward",28,"2026-01-04 11:54:28","Article","10.1186/1471-2148-11-10","1471-2148","https://api.elsevier.com/content/abstract/scopus_id/78651228825",11,1,,,47,3.13,47,1,15,"","",""
6,"R.W. Holzenthal","A new species of Amphoropsyche (Trichoptera, Leptoceridae) from Ecuador, with a key to the species in the genus",2011,"Zookeys","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79960051047&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960051047&origin=inward",151,"2026-01-04 11:54:28","Article","10.3897/zookeys.111.813","1313-2989","https://api.elsevier.com/content/abstract/scopus_id/79960051047",111,,59,65,6,0.40,6,1,15,"","",""
8,"L.L. Dumas","A new species of Cernotina (Trichoptera, Polycentropodidae) from the Atlantic Forest, Rio de Janeiro State, southeastern Brazil",2011,"Revista Brasileira De Entomologia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79956344200&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79956344200&origin=inward",135,"2026-01-04 11:54:28","Article","10.1590/S0085-56262011000100006","0085-5626","https://api.elsevier.com/content/abstract/scopus_id/79956344200",55,1,31,34,8,0.53,8,1,15,"","",""
5,"G.A. Jardim","A new species of Contulma Flint (Trichoptera, Anomalopsychidae) from southeastern Brazil",2011,"Revista Brasileira De Entomologia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79960911364&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960911364&origin=inward",155,"2026-01-04 11:54:28","Article","10.1590/S0085-56262011005000014","0085-5626","https://api.elsevier.com/content/abstract/scopus_id/79960911364",55,2,226,228,5,0.33,5,1,15,"","",""
0,"M. Espeland","A new species of Goera Stephens, 1829 (Goeridae: Trichoptera) from the Solomon Islands",2011,"Aquatic Insects","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80051871043&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80051871043&origin=inward",199,"2026-01-04 11:54:28","Article","10.1080/01650424.2011.600254","0165-0424","https://api.elsevier.com/content/abstract/scopus_id/80051871043",33,2,185,189,0,0.00,0,1,15,"","",""
4,"O. Flint","A new species of neophylax from Northern Virginia, USA (Trichoptera: Uenoidae)",2011,"Proceedings of the Entomological Society of Washington","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955529331&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955529331&origin=inward",165,"2026-01-04 11:54:28","Article","10.4289/0013-8797.113.1.7","0013-8797","https://api.elsevier.com/content/abstract/scopus_id/79955529331",113,1,7,13,4,0.27,4,1,15,"","",""
15,"F.B. Quinteiro","A new species of Phylloicus Müller, 1880 (Trichoptera: Calamoceratidae), from southeastern Brazil, including descriptions of larval and pupal stages",2011,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79251504309&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79251504309&origin=inward",97,"2026-01-04 11:54:28","Article","10.11646/zootaxa.2748.1.4","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/79251504309",,2748,38,46,15,1.00,15,1,15,"","",""
3,"J.M. Menéndez","A new species of Wormaldia from the Iberian Peninsula (Trichoptera, Philopotamidae)",2011,"Zoosystematics and Evolution","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84859810337&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859810337&origin=inward",173,"2026-01-04 11:54:28","Article","10.1002/zoos.201100001","1435-1935","https://api.elsevier.com/content/abstract/scopus_id/84859810337",87,2,193,195,3,0.20,3,1,15,"","",""
65,"X. Zhou","Accelerated construction of a regional DNA-barcode reference library: Caddisflies (Trichoptera) in the Great Smoky Mountains National Park",2011,"Journal of the North American Benthological Society","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79952256049&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79952256049&origin=inward",17,"2026-01-04 11:54:28","Article","10.1899/10-010.1","0887-3593","https://api.elsevier.com/content/abstract/scopus_id/79952256049",30,1,131,162,65,4.33,65,1,15,"","",""
63,"E. Merriam","Additive effects of mining and residential development on stream conditions in a central Appalachian watershed",2011,"Journal of the North American Benthological Society","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955095091&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955095091&origin=inward",18,"2026-01-04 11:54:28","Article","10.1899/10-079.1","0887-3593","https://api.elsevier.com/content/abstract/scopus_id/79955095091",30,2,399,418,63,4.20,63,1,15,"","",""
100,"R.S. Mordecai","Addressing challenges when studying mobile or episodic species: Hierarchical Bayes estimation of occupancy and use",2011,"Journal of Applied Ecology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650961118&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650961118&origin=inward",8,"2026-01-04 11:54:28","Article","10.1111/j.1365-2664.2010.01921.x","0021-8901","https://api.elsevier.com/content/abstract/scopus_id/78650961118",48,1,56,66,100,6.67,100,1,15,"","",""
34,"H. Kalyoncu","An application of different biotic and diversity indices for assessing water quality: A case study in the Rivers Çukurca and Isparta (Turkey)",2011,"African Journal of Agricultural Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79951705262&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951705262&origin=inward",41,"2026-01-04 11:54:28","Article","","1991-637X","https://api.elsevier.com/content/abstract/scopus_id/79951705262",6,1,19,27,34,2.27,34,1,15,"","",""
14,"D.C. Houghton","Analysis of the caddisflies (Trichoptera) of the Manistee River Watershed, Michigan",2011,"Great Lakes Entomologist","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856139720&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856139720&origin=inward",101,"2026-01-04 11:54:28","Article","","0090-0222","https://api.elsevier.com/content/abstract/scopus_id/84856139720",44,1,1,15,14,0.93,14,1,15,"","",""
